"id","country","geolocation","level","adm1","location","disastertype","continent"
8065,"Thailand","mae charim",2,"nan","mae charim district","storm","Asia"
10151,"Laos","nan",2,"louangphrabang","nan district","flood","Asia"
21148,"Thailand","nan",1,"nan","nan province","storm","Asia"
21243,"Thailand","nan",1,"nan","north","storm","Asia"
21352,"Thailand","nan",1,"nan","nan","flood","Asia"
21395,"Thailand","nan",1,"nan","nan","storm","Asia"
21536,"Thailand","nan",1,"nan","northern","earthquake","Asia"
21634,"Thailand","nan",1,"nan","phrae and nan","earthquake","Asia"
32434,"Thailand","nan",1,"nan","nan","flood","Asia"
32494,"Thailand","nan",1,"nan","nan","flood","Asia"
35533,"Thailand","nan",1,"nan","nan","extreme temperature","Asia"
38610,"Thailand","nan",1,"nan","nan","drought","Asia"
38642,"Thailand","nan",1,"nan","nan","drought","Asia"
38665,"Thailand","nan",1,"nan","nan","drought","Asia"
38706,"Thailand","nan",1,"nan","nan","drought","Asia"
38757,"Thailand","nan",1,"nan","nan","drought","Asia"
38771,"Thailand","nan",1,"nan","nan","drought","Asia"
